serial,clave,event,level0,name0,level1,name1,level2,name2,place,d_year,d_month,d_day,duration,cause,descr_cause,sources,magnitude,glide,other,killed,injured,missing,houses_destroyed,houses_damaged,victims,affected,relocated,evacuated,value_us,value_local,nschools,nhospitals,nhectares,ncatle,mts_roads,with_killed,with_injured,with_missing,with_houses_destroyed,with_hauses_damaged,with_victims,with_affected,with_relocated,with_evacuated,education,health,agriculture,water,sewage,industries,communications,transportation,power,relief,with_other,latitude,longitude,comments,defaultab,approved,uu_id
1990-0012,25750,Deslizamiento,02,LA PAZ,0201,Murillo,020101,Nuestra Senora de La Paz,Calle Sucre esquina Loayza de la ciudad de La Paz,1990,3,28,0,Erosión,Se produce deslizamiento en casco viejo de la ciudad,EL DIARIO 29/mar págs 1 y 5,,,3 automóviles,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,G.Sobresaturación del terreno por infiltraciones/En.Corte de energía eléctrica /Vd.Fuente reporta ocho viviendas destruídas/Va.Fuente reporta el caso de cuatro viviendas afectadas,,0,7677cd53-4e3b-456b-8843-ff670aef4e7f
1990-0013,25751,Sequía,07,SANTA CRUZ,0711,Ñuflo de Chavez,,,,1990,3,28,0,Condiciones atmosféricas,Falta de lluvia por más de 25 días y temperatura alta,EL DIARIO 29/mar pág 8,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,567a710b-be6f-4c1f-9924-568a1a8cfe47
1990-0014,25752,Sequía,06,TARIJA,0603,Gran Chaco,,,,1990,4,2,0,Condiciones atmosféricas,Fuerte sequía afecta sector agropecuario,EL DIARIO 04/ago pág 6,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,ab7de682-9513-4608-aa4d-4fe0b2e8ff85
1990-0015,25753,Sequía,06,TARIJA,0601,Cercado,060101,Tarija,Zonas de Valle Central (Santa Ana  San Agustín),1990,4,6,0,Condiciones atmosféricas,Fuerte sequía afedta el departamento de Tarija,EL DIARIO 07/ago pág 8,,,,0,0,0,0,0,0,0,0,0,1000000,0,0,0,3281,0,0,0,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,A.El 100 % de cultivos tradicionales de la región (hortalizas  verduras y vid)se viéron afectados; 33 % de pérdidas en cultivos de maiz y soya./G.Fuente reporta el caso de 781 familias afectadas o damnificadas a consecuencia de la sequía  aunque no disgr,,0,09745b1d-6fe4-4ded-b3f6-7e52b2b9687c
1990-0016,25754,Inundación,02,LA PAZ,0201,Murillo,020105,El Alto,Av. Juan Pablo II del El Alto,1990,5,20,0,Lluvias,Falta de desagues origina inundación,EL DIARIO 25/may pág 1,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,G.La falta de desagues provoca acúmulo de aguas pluviales ocasionando inundaciónes,,0,81e96185-8d65-4a44-8f31-bc650d579e8e
1990-0017,25755,Plaga,02,LA PAZ,,,,,Norte Paceño,1990,6,8,0,Desconocida,Broca del café,EL DIARIO 09/jun pág 4,,,café y cacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,G.Fuente no indica mayores detalles de sitio o ubicación. Broca del café es una plaga que ataca a cultivos cafetales,,0,d156d514-142b-4d3e-afa1-3be8f401b687
1992-0004,25799,Inundación,02,LA PAZ,0201,Murillo,020101,Nuestra Senora de La Paz,Capital,1992,1,2,0,Desbordamiento,Desborde del Río San Pedro,EL DIARO 03/ene pág 5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,0,1ac22068-279c-493b-85bb-833e65294fad
1990-0018,25756,Nevada,02,LA PAZ,0201,Murillo,020105,El Alto,El Alto,1990,6,11,0,Condiciones atmosféricas,Fuerte ola de frío,EL DIARIO 12/jun pág 1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,V.Vías anegadas por los 7 cms de nieve que cayó en El Alto de La Paz/T.Tránsito interrumpido a consecuencia de la nevada/,,0,95c8ec70-5fd2-4a9e-b63b-5722ecc978cf
1990-0019,25757,Incendio,06,TARIJA,0603,Gran Chaco,060301,Yacuiba,Yacuiba,1990,8,15,0,Desconocida,Se incendió el Instituto Boliviano Agropecuario,EL DIARIO 16/ago pág 9,,,Maquinaria y materiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,,0,ee87e9d5-7497-43ab-bbc9-6a2261a8c1ed
1990-0020,25758,Sequía,07,SANTA CRUZ,0707,Cordillera,,,,1990,9,9,0,Condiciones atmosféricas,Sequía afecta sector agropecuario,EL DIARIO 10/sep pág 1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,c0042b86-e008-4cc5-abb6-9b5119599038
