serial,clave,event,level0,name0,level1,name1,level2,name2,place,d_year,d_month,d_day,duration,cause,descr_cause,sources,magnitude,glide,other,killed,injured,missing,houses_destroyed,houses_damaged,victims,affected,relocated,evacuated,value_us,value_local,nschools,nhospitals,nhectares,ncatle,mts_roads,with_killed,with_injured,with_missing,with_houses_destroyed,with_hauses_damaged,with_victims,with_affected,with_relocated,with_evacuated,education,health,agriculture,water,sewage,industries,communications,transportation,power,relief,with_other,latitude,longitude,comments,defaultab,approved,uu_id
2005-0062,27267,Inundación,03,COCHABAMBA,0310,Chapare,031002,Colomi,Ríos,2005,1,27,0,Lluvias,,Datos 05 Nat.-36,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,c22e82cc-9016-4775-b050-3c2163fc9afd
2005-0125,27304,Inundación,06,TARIJA,0604,Avilez,060401,Uriondo,Calamuchita  Juntas,2005,2,21,0,Lluvias,,Datos 05 Nat.- 201.202,,,,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,58771097-e78d-46f5-9053-95a9961adee8
1971-0033,27305,Inundación,08,BENI,0805,Moxos,080501,San Ignacio,Parque Isiboro Sécure,1971,3,0,0,Lluvias,,Quipus - El Diario,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,ad19f7b5-e33f-41fe-8843-54d1c1124639
2004-0239,27306,Inundación,03,COCHABAMBA,0307,Capinota,030701,Capinota,Capinota,2004,1,24,0,Lluvias,,Datos 04.- 251,,,,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,ca4d1217-eb44-4be7-9f32-edabcebd0893
1984-0026,27325,Deslizamiento,02,LA PAZ,0201,Murillo,020101,Nuestra Senora de La Paz,Zona La Merced,1984,1,0,0,Lluvias,,Quipus,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,e277c1a3-bce6-4096-a82c-65b4af7ea04a
2004-0211,27344,Inundación,07,SANTA CRUZ,0704,Ichilo,070403,Yapacani,Yapacani,2004,2,4,0,Lluvias,,Datos 04.- 288,,,,0,0,0,0,0,4820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0fdc66c3-49a8-4836-b140-c348fbd8dfcf
2004-0255,27363,Inundación,06,TARIJA,0604,Avilez,,,La Goma,2004,2,26,0,Lluvias,,Datos 04.- 392,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,9684bef3-f6c7-4e08-8ffa-4bbfcfcbdc98
2005-0111,27089,Inundación,06,TARIJA,0603,Gran Chaco,060301,Yacuiba,D orbigni,2005,2,16,0,Lluvias,,Datos 05 Nat.- 176,,,,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44 familias damnificadas.,,0,4546f805-602a-4691-8023-2438f9f951b9
2006-0174,27090,Inundación,09,PANDO,0903,Madre de Dios,090302,San Lorenzo,San Lorenzo,2006,2,7,0,Lluvias,,Datos Nat.06.- 537,,,,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,66 familias damnificadas.,,0,dea25866-fe4b-4251-8f74-38fda20b6570
2004-0113,27364,Inundación,05,POTOSI,,,,,Retiro,2004,1,6,0,Lluvias,Daños en la carretera Potosí - Sucre,La Prensa,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0,949f2676-c32e-4919-9dc4-f37d641182bf
2004-0264,27094,Inundación,09,PANDO,0904,Abuna,090401,Santa Rosa del Abuna,Santa Rosa,2004,3,2,0,Lluvias,,Datos 04.- 425,,,,0,0,0,0,0,565,0,0,0,0,0,0,0,79.2,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,176 familias damnificadas,,0,41bd9299-55f1-4bc6-9631-9adee170fcb9
1997-0061,27401,Inundación,01,CHUQUISACA,0101,Oropeza,,,Villa Copacabana,1997,12,28,0,Lluvias,,Quipus,,,,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,340d05df-3a98-40c0-8f8a-89b0caf7447e
2004-0280,27095,Inundación,09,PANDO,0904,Abuna,090402,Ingavi,Ingavi,2004,3,18,0,Lluvias,,Datos 04.- 519,,,,0,0,0,0,0,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132 familias damnificadas,,0,fed8b6b2-74b1-4fb2-98d8-080907354e05
1999-0064,27096,Inundación,02,LA PAZ,0218,Gualberto Villarroel,021802,Papel Pampa,Papel Pampa,1999,2,0,0,Lluvias,,Quipus,,,,0,0,0,0,0,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158 Familias damnificadas,,0,ee58a333-a384-4868-a867-6330b1939117
1999-0047,27114,Inundación,02,LA PAZ,0209,Loayza,020902,Sapahaqui,Chivisivi,1999,3,20,0,Lluvias,Desborde de río,Quipus,,,,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200 Familias damnificadas,,0,5d9dd667-4564-42a0-b8fb-88486b5afc78
2005-0169,27115,Inundación,05,POTOSI,0511,Jose Maria Linares,051102,Caiza D,Tuctapari,2005,0,0,0,Lluvias,,Datos 04.- 919,,,,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92 familias damnificadas,,0,0a99e112-8266-4617-8d2b-09aa47338526
2004-0304,27116,Inundación,01,CHUQUISACA,0106,Yamparaez,010601,Tarabuco,Tipa Vilque,2004,5,4,0,Lluvias,,Datos 04.- 747,,,,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78 familias damnificadas,,0,bbdc6cbc-e4a8-43b4-962d-061f34714220
2004-0305,27117,Inundación,08,BENI,0803,Gral. Jose Ballivian,080304,Rurrenabaque,Quiquibey,2004,5,22,0,Lluvias,,Datos 04.- 753,,,,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 familias damnificadas,,0,d9732f1e-e38b-4960-ab44-74fc79f52939
2014-0431,30455,Inundación,02,LA PAZ,0217,Manco Kapac,021702,San Pedro de Tiquina,Comunidades: Villa Amacari; Chicharro; Camacachi; Huayllani;,2014,12,15,75,Lluvias,,Defensa Civil; EDAN-010151,,,,0,0,0,0,0,2550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Requiere ayuda humanitaria con alimentos bàsicos; herramientas y ropa de cama,,0,81884630-6dbd-4f65-b72f-7fd335f9de0b
2014-0432,30456,Riada,02,LA PAZ,0218,Gualberto Villarroel,021802,Papel Pampa,Subcentrales: Circacruzani; Colqueamaya; Escalona; Mollebamb,2014,12,15,30,Lluvias,,Defensa Civil; EDAN-001150,,,,0,0,0,0,0,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,Requiere ayuda humanitaria con suministros bàsicos de alimentos; ropa de cama y herramientas. Pèrdida de Cultivos (papa; quinua y otros),,0,4cc2929b-54e5-4256-95b6-9269668c3b2d
2014-0433,30457,Inundación,08,BENI,0805,Moxos,080501,San Ignacio,Comunidad Monte Cristo; Navidad; San Francisco de Moxos; San,2014,12,15,30,Riada,,Defensa Civil; VALI-102142,,,,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,Ayuda humanitaria con vivienda; vìveres; vituallas y agua potable; pèrdida de cultivos; maìz; arroz; yuca; plàtano y caña de azùcar,,0,3b74ceba-5337-404d-9109-114c5b9a21a8
2015-0001,30458,Inundación,02,LA PAZ,0218,Gualberto Villarroel,021801,San Pedro de Curahuara,Comunidades: San Pedro de Curahuara; Puerto Capitan Castrill,2015,1,5,20,Lluvias,,Defensa Civil; EDAN-006151,,,,0,0,0,0,0,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Requiere ayuda humanitaria con alimentos de primera necesidad; colchones; viruallas; como tambien herramientas de trabajo (carretilla; azadones; picotas y palas),,0,5bbd769e-224d-4817-8f4c-c9253fa8dbe7
2015-0002,30459,Riada,03,COCHABAMBA,0307,Capinota,030703,Sicaya,Comunidades: Chojñapampa; Pucara; Waca Paz; Cotañi; Corata 1,2015,1,7,30,Lluvias,,Defensa Civil; VALI-001151,,,,0,0,0,0,0,3295,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Requiere ayuda humanitaria; alimentos (arroz; azùcar; fideo;aceite; harina; sal),,0,cb662b28-e1c5-42f6-83f0-83bad72f4447
2015-0003,30460,Granizada,02,LA PAZ,0202,Omasuyos,020201,Achacachi,Municipio de Achacachi,2015,1,9,20,Condiciones atmosféricas,,Defensa Civil; EDAN-004151,,,,0,0,0,0,0,880,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Requiere Ayuda Humanitaria; alimentos bàsicos y herramientas,,0,b0ea5e3d-75ce-45da-a1d4-b554595bd017
2015-0004,30461,Inundación,02,LA PAZ,0206,Larecaja,020602,Guanay,Municipio de Guanay,2015,1,12,20,Riada,,Defensa Civil; EDAN-001151,,,,0,0,0,0,100,3000,0,0,0,0,0,0,0,245,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,Requiere Ayuda Humanitaria,,0,80b995fe-72b6-44e7-8924-2841d7aa1c19
2015-0005,30462,Desbordamiento,02,LA PAZ,0206,Larecaja,020606,Tipuani,Comunidades: Chima; Gritado; Cangalli; Zona Urbana,2015,1,12,20,Lluvias,,Defensa Civil; EDAN-002151,,,,0,0,0,0,50,500,0,0,0,0,0,0,0,245,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,Requiere Ayuda Humanitaria,,0,3504e204-0840-4dcf-9d67-68fa77a49661
2015-0006,30463,Desbordamiento,02,LA PAZ,0206,Larecaja,020608,Teoponte,Comunidades: Uyapi; 2 de Agosto; Tomachi; Silahuara; Mangopa,2015,1,12,20,Riada,,Defensa Civil; EDAN-002150,,,,0,0,0,0,0,3115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,Requiere ayuda humanitaria con vituallas; alimentos bàsicos; herramientas y ropa de cama. Pèrdida de Cultivos; cacao; maìz; plàtano; arroz; yuca y otros,,0,17c95ef0-f846-4a57-a893-39b1c21d4e00
2015-0007,30464,Granizada,03,COCHABAMBA,0306,Arque,030602,Tacopaya,Comunidades: Vilota Chico; Corral; Oki Oki; Cebadiri; Cataco,2015,1,14,120,Condiciones atmosféricas,,Defensa Civil; VALI-008151,,,,0,0,0,0,0,9740,0,0,0,0,0,0,0,337,1806,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Requiere de ayuda humanitaria. Pèrdida de cultivos: Papa; maìz; trigo; arveja; cebada; haba; oca y papa lisa,,0,0547846a-3daf-4fbf-99d8-f7e3d4024c54
2015-0008,30465,Desbordamiento,02,LA PAZ,0201,Murillo,020102,Palca,Comunidades: Cantones.- Palca; Cohoni; Quillihuaya; D1 Oveju,2015,1,15,30,Lluvias,,Defensa Civil; EDAN-014150,,,,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,Requiere apoyo humanitaria con alimentos bàsicos; herramientas y otros. Daños a la producciòn agrìcola y vìas de comunicaciòn,,0,33c46702-26c9-47cc-ac97-5b1e74c0020d
2015-0009,30466,Riada,02,LA PAZ,0203,Pacajes,020303,Calacoto,Comunidades: Collana A; Collana B; Copacati; Siqui; Pahaza; ,2015,1,15,20,Lluvias,,Defensa Civil; EDAN-007151,,,,0,0,0,0,0,12285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Requiere de ayuda humanitaria; con herramientas de trabajo; suministros bàsicos de alimentos; dotaciòn y vituallas. Pèrdida de producciòn de cultivos; producciòn agrìcola y ganadera de la regiòn,,0,186204a0-bdb3-45f0-a34b-0104e2b6bf4d
2015-0010,30467,Desbordamiento,02,LA PAZ,0206,Larecaja,020602,Guanay,Comunidades: Candelaria; Pajonal Vilaque,2015,1,15,120,Lluvias,,Defensa Civil; EDAN-018151,,,,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Requiere ayuda humanitaria con carpas y herramientas. Daños a la producciòn agrìcola y viviendas,,0,68984ac3-e55d-4b88-a0be-3f0c9728c829
2015-0011,30468,Helada,02,LA PAZ,0208,Ingavi,020802,Guaqui,Comunidades: Villa Tintuma; Janko Marca; Kassa Santa Rosa; K,2015,1,15,30,Condiciones atmosféricas,,Defensa Civil; EDAN-016150,,,,0,0,0,0,0,11860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Requiere apoyo humanitaria con alimentos bàsicos y herramientas,,0,3481db69-8c09-4d7f-ab63-279d453bdf5d
2015-0012,30469,Granizada,02,LA PAZ,0213,Aroma,021301,Sica Sica,Comunidades: Conchamarca; Pucara; Cala Cala; Carbuyo Jalsuri,2015,1,15,60,Condiciones atmosféricas,,Defensa Civil; EDAN-019151,,,,0,0,0,0,0,4395,0,0,0,0,0,0,0,2838,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Requiere ayuda humanitaria con alimentos bàsicos (arroz; fideo; azùcar y aceite); herramientas de trabajo (carretillas; picotas; palas y azadones) y kits de higiene,,0,b7544ec5-ef1f-48b0-bc86-8a154c20d13d
2015-0013,30470,Inundación,02,LA PAZ,0220,Caranavi,022002,Alto Beni,Comunidades: Pasuja 1ra. Faja; Pasuja 2da. Faja; Colla Inca;,2015,1,15,30,Lluvias,,Defensa Civil; EDAN-017150,,,,0,0,0,0,0,3150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,Requiere apoyo humanitaria con alimentos bàsicos; herramientas; vituallas y otros. Daños a la producciòn agrìcola,,0,8a77e1f1-277a-4f7b-bb8d-2928876b9c0b
2015-0014,30471,Inundación,02,LA PAZ,0202,Omasuyos,020204,Huarina,Comunidades: Coromata Alta; Coromata Media; Pairumani; Beren,2015,2,2,45,Granizada,,Defensa Civil; EDAN-008150,,,,0,0,0,0,0,7985,0,0,0,0,0,0,0,899,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Requiere ayuda humanitaria con alimentos; vituallas; herramientas y otros. Pèrdida de cultivos,,0,64f05932-f4d0-46ef-93b6-53b67c2f3b35
2015-0015,30472,Riada,02,LA PAZ,0219,Gral. Jose Manuel Pand,021901,Santiago de Machaca,Comunidades: Villa Casquiri; Llallagua; Quiñota; Villa Meced,2015,2,16,20,Granizada,,Defensa Civil; EDAN-005150,,,,0,0,0,0,0,5835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Requiere ayuda humanitaria con alimentos bàsicos; ropa de cama herramientas de trabajo (carretilla; picotas y palas); botas y Khotañas,,0,4ed4ab67-e8a5-4ce1-b58c-688283a978e3
2015-0016,30473,Granizada,03,COCHABAMBA,0304,Esteban Arze,030403,Arbieto,Comunidades: Villa Cabot; Copapujyo Nuevo; Copapujyo Centro;,2015,2,16,30,Condiciones atmosféricas,,Defensa Civil; VALI-002150,,,,0,0,0,0,0,1605,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Requiere ayuda humanitaria; alimentos (arroz; azùcar; fideo;aceite); herramientas de trabajo (palas; picotas; azadones; carretillas); Cultivos afectados (maìz; durazno; uva; orègano; alfa alfa; papa; trigo; arbeja; haba),,0,ca4f40b6-0fa1-4d54-9557-536753b5f39e
2015-0017,30474,Helada,02,LA PAZ,0203,Pacajes,020302,Caquiaviri,Comunidades: Caquiaviri; Achiri; Jihuacuta; Vichaya; Villa A,2015,2,18,2,Condiciones atmosféricas,,Defensa Civil; EDAN-013151,,,,0,0,0,0,0,8500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Requiere ayuda humanitaria con alimentos bàsicos y herramientas de trabajo,,0,9f5df712-2c09-41ee-b68f-4189650e6b42
2015-0018,30475,Riada,07,SANTA CRUZ,0707,Cordillera,070705,Gutierrez,Comunidades: Guasuanti; Eiti; Cruce; Paja Colorada; Pocitos;,2015,2,18,20,Lluvias,,Defensa Civil; VALI-002151,,,,0,0,0,0,0,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Requiere ayuda humanitaria; alimentos; tanques de agua; herramientas; colchonetas; frazadas; semilla (de maìz y frejol) y sal  mineral para ganado,,0,e9d9454f-18e6-4556-812d-ac3867760774
2015-0019,30476,Deslizamiento,03,COCHABAMBA,0309,Quillacollo,030904,Vinto,Comunidades: Keraya Centro; Keraya B; Collpa Cala Cala; Coll,2015,3,15,20,Deslizamiento,,Defensa Civil; VALI-004150,,,,0,0,0,0,0,45,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Requiere ayuda humanitaria,,0,f00d81b5-f04d-4a26-9ee9-a6e5a6493d04
2015-0020,30477,Granizada,03,COCHABAMBA,0303,Ayopaya,030301,Independencia,Comunidades: La Vega; Lomas Pocanche; Llavesita; Carhuani; K,2015,4,15,30,Condiciones atmosféricas,,Defensa Civil; VALI-003150,,,,0,0,0,0,0,550,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Requiere de ayuda humanitari. Pèrdida de cultivos (Chirimoya; palta; mandarina; durazno; manzana),,0,b90cbfe1-4fde-4502-b5f5-17d2f8a66495
2015-0021,30478,Sequía,01,CHUQUISACA,0110,Luis Calvo,011002,Huacaya,Comunidades:Yaperenda; Chimbe; Camatindi; Camatindimi; La La,2015,5,10,20,Condiciones atmosféricas,,Defensa Civil; VALI-003151,,,,0,0,0,0,0,1415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Requiere ayuda humanitaria; alimentos; politubos,,0,cae0546a-25e1-4fc8-aa36-4a9f3284650d
2015-0022,30479,Contaminación,04,ORURO,0404,Sajama,040402,Turco,Municipio de Turco,2015,5,20,20,Desconocida,,Defensa Civil; VALI-007151,,,,0,0,0,0,0,9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Requiere Ayuda Humanitaria con Raciòn seca (sardina; leche condensada; agua; pan; bolsas negras),,0,898170a1-cc17-40df-8199-cefa75fa7e27
2015-0023,30480,Contaminación,04,ORURO,0409,Atahuallpa,040901,Sabaya,Municipo de Sabaya,2015,5,20,20,Desconocida,,Defensa Civil;VALI-010151,,,,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Requiere Ayuda Humanitaria con Raciòn seca (sardina; leche condensada; agua; pan; bolsas negras),,0,4bd2c4f1-8b4c-4a01-b39e-fb3140539c89
2015-0024,30481,Deslizamiento,02,LA PAZ,0201,Murillo,020101,Nuestra Senora de La Paz,Municipio de La Paz,2015,6,3,20,Deslizamiento,,Defensa Civil; EDAN-008151,,,,0,0,0,0,35,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Requiere Ayuda Humanitaria,,0,b7b40588-9042-4ce3-9e03-ab594564f819
2015-0025,30482,Vientos fuertes,02,LA PAZ,0204,Camacho,,,Comunidades: Pucara Pajchani; Centro Pallallani; Kollurani; ,2015,6,3,20,Condiciones atmosféricas,,Defensa Civil; EDAN-014151,,,,0,0,0,0,0,4130,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,Requiere de ayuda humanitaria; vituallas; carpas; linternas; herramientas; alimentos bàsicos (harina; azùcar; arroz; fideo; aceite; sardina; leche condensada; agua),,0,50108f7a-7e5a-4b42-bc53-addd542483ac
2015-0026,30483,Sequía,03,COCHABAMBA,0302,Campero,030203,Omereque,Comunidades: Pantoja y Villa Esperanza,2015,6,15,30,Condiciones atmosféricas,,Defensa Civil; VALI-015151,,,,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Requiere de ayuda humanitaria; tanques de agua de plàstico,,0,0b2c6979-8380-4318-b50a-32b7ee8fa248
2015-0027,30484,Nevada,02,LA PAZ,0207,Franz Tamayo,020702,Pelechuco,Comunidades: Ulla Ulla; Plan Aeropuerto; Huacochani; Hichoco,2015,7,3,20,Condiciones atmosféricas,,Defensa Civil; EDAN-012151,,,,0,0,0,0,0,5725,0,0,0,0,0,0,0,0,1926,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,Requiere de ayuda humanitaria,,0,db2bef42-e275-4f84-94d3-fc6240297772
2015-0028,30485,Epidemia,03,COCHABAMBA,0302,Campero,030201,Aiquile,Comunidades: Novillero; Tipa Pampa; Mojon; Chinguri; Kjaruma,2015,7,30,20,Desconocida,,Defensa Civil; VALI-009151,,,,0,0,0,0,0,1520,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Requiere ayuda humanitaria; alimentos (arroz; azùcar; fideo;aceite; harina); herramientas (palas y picotas),,0,348a6579-2f66-48f5-89d2-99a2155bab3a
2015-0029,30486,Nevada,02,LA PAZ,0207,Franz Tamayo,020702,Pelechuco,Comunidades: Ulla Ulla; Plan Aeropuerto; Huacochani; Hichoco,2015,8,11,20,Condiciones atmosféricas,,Defensa Civil; EDAN-017151,,,,0,0,0,0,0,3760,0,0,0,0,0,0,0,0,5872,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,Requiere de ayuda humanitaria; 60% de ganado afectado,,0,2d577e40-3f2d-4ca5-90e4-5918d9e29265
2015-0030,30487,Nevada,02,LA PAZ,0216,Bautista Saavedra,021602,Curva,Comunidades: Cañuhuma; Medallani; Pulipata; Kellwacota; Cañi,2015,8,12,20,Condiciones atmosféricas,,Defensa Civil; EDAN-016151,,,,0,0,0,0,116,2155,0,0,0,0,0,0,0,0,1477,0,0,0,0,0,-1,-1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,Requieren alimentos bàsicos; herramientas; y ropa de cama,,0,1ff5e0c1-edb7-443a-99cf-9485fcc4b231
2015-0031,30488,Nevada,03,COCHABAMBA,0311,Tapacari,031101,Tapacari,Comunidades: Tola Marka; Yauri Totora; Lacolaconi; Collpaña;,2015,8,12,2,Condiciones atmosféricas,,Defensa Civil; VALI-010150,,,,0,0,0,0,0,4850,0,0,0,0,0,0,0,0,34045,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Requiere de ayuda humanitaria,,0,6c2d227e-5edb-49fc-aa20-bb8cf51f5023
2015-0032,30489,Sequía,03,COCHABAMBA,0313,Mizque,031302,Vila Vila,Comunidades: Qhochini y Pocotaica,2015,8,30,90,Condiciones atmosféricas,,Defensa Civil; VALI-014151,,,,0,0,0,0,0,2005,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Requiere de ayuda humanitaria; tanques de agua de plàstico,,0,18cf794a-bbd7-445e-943d-4cdb55c7987f
2015-0033,30490,Sequía,03,COCHABAMBA,0313,Mizque,031301,Mizque,Comunidades: Polìgono; Chirimolle Pampa; Puca Pila; Viña Per,2015,9,15,30,Condiciones atmosféricas,,Defensa Civil; VALI-011151,,,,0,0,0,0,0,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Requiere de ayuda humanitaria. Cultivos afectados: Tomate; cebolla; maìz; Alfa alfa; afectando tambièn el ganado caprino y vacuno,,0,b49495c1-d7ee-4963-b4f7-597ac7ec6848
2015-0034,30491,Sequía,01,CHUQUISACA,0110,Luis Calvo,011003,Machareti,Comunidades: Bajo Bordo Alto; Valle Hermoso; Vuelta Grande; ,2015,9,22,20,Condiciones atmosféricas,,Defensa Civil; VALI-004151,,,,0,0,0,0,0,12450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Requiere ayuda humanitaria de alimentos; politubos; tanques de agua; sal mineral y forraje para ganado,,0,63035a81-d7df-4eaa-8b42-cf19c7022f52
2015-0035,30492,Sequía,07,SANTA CRUZ,0707,Cordillera,070707,Boyuibe,Comunidades: Pueblo Nuevo; Camatindi; Pozo del Monte; Yuquer,2015,10,6,20,Condiciones atmosféricas,,Defensa Civil; VALI-005151,,,,0,0,0,0,0,2755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Requiere ayuda humanitaria; alimentos (arroz; azùcar; fideo;aceite; harina); tanques de agua,,0,e2e99c1c-1be4-496d-968e-eea41b768826
